Model,Iteration,Relevance,Household Benefit,Firm Benefit,Combined Score
falcon_mixed,1,9,6,3,6.0
falcon_mixed,2,9,3,3,5.0
falcon_mixed,3,9,0,6,5.0
falcon_mixed,4,9,9,0,6.0
falcon_mixed,5,9,3,9,7.0
falcon_mixed,6,9,0,3,4.0
falcon_mixed,7,9,6,0,5.0
falcon_mixed,8,9,6,6,7.0
falcon_mixed,9,9,9,9,9.0
falcon_mixed,10,9,9,6,8.0
falcon_mixed,11,9,0,0,3.0
falcon_mixed,12,9,0,0,3.0
falcon_mixed,13,9,0,0,3.0
falcon_mixed,14,9,0,0,3.0
falcon_mixed,15,9,0,0,3.0
falcon_single,1,9,9,9,9.0
falcon_single,2,9,9,9,9.0
falcon_single,3,7,9,9,8.3
falcon_single,4,7,9,9,8.3
falcon_single,5,7,9,9,8.3
falcon_single,6,7,9,9,8.3
falcon_single,7,7,9,9,8.3
falcon_single,8,0,9,9,6.0
falcon_single,9,0,9,9,6.0
falcon_single,10,9,0,3,4.0
falcon_single,11,0,9,9,6.0
falcon_single,12,0,9,9,6.0
falcon_single,13,0,9,9,6.0
falcon_single,14,0,9,9,6.0
falcon_single,15,0,9,9,6.0
llama_single,1,9,0,0,3.0
llama_single,2,9,0,0,3.0
llama_single,3,9,0,3,4.0
llama_single,4,0,0,0,0.0
llama_single,5,0,0,0,0.0
llama_single,6,0,0,0,0.0
llama_single,7,0,0,0,0.0
llama_single,8,0,0,3,1.0
llama_single,9,0,0,0,0.0
llama_single,10,0,0,0,0.0
llama_single,11,0,0,0,0.0
llama_single,12,0,0,0,0.0
llama_single,13,0,0,0,0.0
llama_single,14,0,0,0,0.0
llama_single,15,0,0,0,0.0
